id_cliente,monto,pais,fecha_hora,fraude_real,pais_habitual,media_cliente,desviacion_cliente,z_score,hora,flag_nocturno,flag_pais_distinto,score_riesgo,fraude_predicho
358,7747.412381333281,Brasil,2026-01-31 11:13:51.990970,1,Brasil,1742.3727786118955,1802.5698743515711,3.3313768792910436,11,0,0,50,0
320,730.8450867381365,Uruguay,2026-02-13 09:00:51.993586,0,Argentina,1184.9980036984227,511.24810919999805,-0.888321949338738,9,0,1,30,0
392,2693.034186278009,Brasil,2026-02-18 10:39:51.994053,0,Argentina,4391.048475328696,3412.8749324255923,-0.4975319408625026,10,0,1,30,0
233,5237.423971629942,Argentina,2026-01-31 08:30:51.994539,0,Argentina,6361.704932510218,5071.089342120356,-0.22170403340008693,8,0,0,0,0
140,3065.8216833282163,Argentina,2026-01-26 04:27:51.994992,0,Argentina,3061.945613022246,672.2686046161456,0.005765657178328834,4,1,0,20,0
342,4652.753694635461,Chile,2026-02-17 07:15:51.995644,0,Argentina,4497.291204488838,565.6380842985969,0.2748444534801788,7,0,1,30,0
389,4092.2951373243786,Argentina,2026-02-06 22:40:51.996482,0,Brasil,4158.730838136459,468.22097434324434,-0.14188963000913693,22,0,1,30,0
410,2689.718215346085,Chile,2026-02-01 13:18:51.996968,0,Uruguay,2837.7280875553265,524.5030107582984,-0.282190700860338,13,0,1,30,0
396,4825.464121469811,Argentina,2026-01-30 07:37:51.997581,0,Chile,4796.114217152104,426.9284074114717,0.06874666526797737,7,0,1,30,0
52,2947.364131151684,Chile,2026-02-09 16:23:51.998065,0,Brasil,3908.7578370425686,2954.2518904159274,-0.32542712725675216,16,0,1,30,0
64,4390.876101603747,Argentina,2026-01-30 20:55:51.998651,0,Chile,5078.960204371103,3663.0296866178514,-0.18784562551625886,20,0,1,30,0
313,3770.253720268692,Uruguay,2026-02-18 15:10:51.999123,0,Argentina,4086.5882788787185,655.1578000678574,-0.4828372013235014,15,0,1,30,0
475,5350.809159247899,Brasil,2026-02-07 13:14:51.999581,0,Chile,4637.465093054554,365.64733411134296,1.9509073351431159,13,0,1,30,0
382,3471.941775247585,Brasil,2026-01-29 06:30:52.000032,0,Chile,2868.4660101392965,534.8616310350744,1.1282838964171553,6,1,1,50,0
