id_cliente,monto,pais,fecha_hora,fraude_real,pais_habitual,media_cliente,desviacion_cliente,z_score,hora,flag_nocturno,flag_pais_distinto,score_riesgo,fraude_predicho
128,5317.418615493036,Argentina,2026-02-15 03:44:37.689243,0,Chile,4858.992792303708,406.43190603720865,1.1279277447951135,3,1,1,50,0
300,380.21169332128125,Chile,2026-01-28 22:30:37.691625,0,Argentina,1254.794306489746,450.7532867193142,-1.9402689651669047,22,0,1,30,0
372,5008.694733425451,Chile,2026-02-22 01:53:37.692081,0,Argentina,5748.753264103798,4132.52908325904,-0.17908126374145536,1,1,1,50,0
451,1241.0429583638304,Chile,2026-02-16 01:48:37.692537,0,Chile,1373.3280962812973,500.9460853346269,-0.26407060917364356,1,1,0,20,0
154,1868.4989901491697,Uruguay,2026-02-08 19:58:37.692980,0,Chile,2337.977858429372,558.9340975659726,-0.839953887810161,19,0,1,30,0
63,3195.0467644226246,Chile,2026-02-03 04:00:37.693421,0,Chile,3889.6505858713454,3323.6536802391565,-0.20898802591211604,4,1,0,20,0
467,1270.2044611399158,Argentina,2026-02-04 02:30:37.693851,0,Chile,1037.650830002142,559.0453946246112,0.4159834485246577,2,1,1,50,0
173,1081.0959005009013,Chile,2026-02-13 17:25:37.694281,0,Uruguay,1386.2033835058457,477.9502126699458,-0.6383666643865269,17,0,1,30,0
84,4510.724511846713,Uruguay,2026-01-31 09:14:37.695097,0,Uruguay,4693.703644296761,522.9996442555039,-0.34986473597036827,9,0,0,0,0
130,4731.021088193416,Chile,2026-02-04 07:33:37.695743,0,Chile,4756.461490047277,482.9142023969969,-0.05268099742684013,7,0,0,0,0
329,1225.9278641317737,Uruguay,2026-02-16 17:08:37.696200,0,Chile,2210.5548204888833,1848.853240556056,-0.5325609057325588,17,0,1,30,0
406,4177.1176103887365,Argentina,2026-02-05 03:04:37.696675,0,Uruguay,4565.4969815693485,357.4804981667587,-1.0864351291114054,3,1,1,50,0
20,952.3737031165459,Brasil,2026-02-24 08:39:37.697125,0,Chile,1413.8957821242684,1262.8105779091918,-0.36547213579082827,8,0,1,30,0
24,2388.0487490855976,Uruguay,2026-02-23 23:15:37.697592,0,Brasil,2916.167843608739,422.2359495396168,-1.2507677167208855,23,0,1,30,0
114,8791.359442739875,Brasil,2026-02-03 18:19:37.698048,1,Argentina,3333.666912314777,2724.461796305238,2.0032185945226004,18,0,1,30,0
392,1877.9473989767848,Brasil,2026-02-15 03:33:37.698509,0,Uruguay,1217.8318343499475,452.9796260452416,1.4572742937469507,3,1,1,50,0
441,4108.8532590646555,Argentina,2026-02-25 04:59:37.698962,0,Brasil,4876.185311388228,2717.6764507958947,-0.28234856732075403,4,1,1,50,0
485,1508.2623455923103,Brasil,2026-02-10 10:31:37.699457,0,Argentina,2363.6338985204898,2749.752820826787,-0.31107216126829507,10,0,1,30,0
2,3365.6305159050657,Brasil,2026-02-01 19:02:37.699922,0,Brasil,3972.400426579677,2551.595333895504,-0.2378002117397901,19,0,0,0,0
163,3438.5054858309236,Argentina,2026-02-13 11:03:37.700443,0,Chile,3712.656568939439,326.0201232141405,-0.8409023357384721,11,0,1,30,0
172,3551.143605928194,Uruguay,2026-01-27 00:24:37.700910,0,Brasil,4622.935079886941,4340.391723700027,-0.2469342727999406,0,1,1,50,0
181,3947.8988379447096,Chile,2026-02-08 20:10:37.701450,0,Argentina,4449.130482441434,376.92011292159725,-1.3298086976881087,20,0,1,30,0
309,2562.1955245027875,Uruguay,2026-02-11 17:21:37.701923,0,Brasil,3816.263084580389,3321.9456217239504,-0.3775099603908607,17,0,1,30,0
369,2096.7673825638567,Brasil,2026-01-27 20:05:37.702377,0,Brasil,2812.6485818738106,2221.4101532173668,-0.32226430507356396,20,0,0,0,0
487,4301.306507964374,Argentina,2026-02-09 04:38:37.702822,0,Chile,3962.9233903239833,430.55407096694285,0.7859247896099233,4,1,1,50,0
316,3724.2024911927756,Uruguay,2026-02-21 18:40:37.703265,0,Brasil,5126.4661765134315,3348.5027545311104,-0.4187733408381246,18,0,1,30,0
31,1399.9755432134425,Chile,2026-01-28 14:15:37.703734,0,Chile,1234.3460103073728,585.4220402515552,0.2829232955337637,14,0,0,0,0
426,1293.0886230669605,Brasil,2026-01-27 11:39:37.704177,0,Argentina,1357.5908443764602,405.8372149229221,-0.15893619150168403,11,0,1,30,0
29,4085.0722585698304,Chile,2026-02-19 15:34:37.704966,0,Chile,3684.9909326956104,541.0709827996645,0.7394248418277368,15,0,0,0,0
217,1319.9372393975582,Argentina,2026-01-29 00:12:37.705517,0,Brasil,2259.44668815535,1715.4610160222007,-0.5476716987345592,0,1,1,50,0
341,1316.3850545286018,Uruguay,2026-02-23 20:50:37.705996,0,Chile,1571.289800175438,332.4105473686585,-0.7668371165254725,20,0,1,30,0
459,7134.015723064975,Uruguay,2026-02-07 10:19:37.706492,1,Uruguay,3069.4485189152315,1845.3993537360686,2.202540710725242,10,0,0,0,0
212,4111.4846372179045,Chile,2026-02-18 23:37:37.706937,0,Argentina,5406.835877047224,3501.4390621673406,-0.3699482460870005,23,0,1,30,0
